,bigram,counts
0,"('universal', 'design')",2
61,"('state', 'practice')",1
59,"('study', 'report')",1
58,"('case', 'study')",1
57,"('disability', 'case')",1
56,"('multiple', 'disability')",1
55,"('child', 'multiple')",1
54,"('program', 'child')",1
53,"('educational', 'program')",1
52,"('application', 'educational')",1
51,"('practice', 'application')",1
50,"('recommendation', 'practice')",1
49,"('school', 'recommendation')",1
48,"('application', 'school')",1
47,"('survey', 'application')",1
46,"('atsm', 'survey')",1
45,"('method', 'atsm')",1
44,"('service', 'method')",1
43,"('product', 'service')",1
60,"('report', 'state')",1
62,"('practice', 'acceptability')",1
1,"('elderly', 'care')",1
63,"('acceptability', 'older')",1
80,"('devices,', 'literature')",1
79,"('provided', 'devices,')",1
78,"('non-use', 'provided')",1
77,"('opportunity', 'non-use')",1
76,"('challenge', 'opportunity')",1
75,"('standards,', 'challenge')",1
74,"('application', 'standards,')",1
73,"('critical', 'application')",1
72,"('safety', 'critical')",1
71,"('life', 'safety')",1
70,"('human', 'life')",1
69,"('wearable', 'human')",1
68,"('surveying', 'wearable')",1
67,"('vision', 'surveying')",1
66,"('computer', 'vision')",1
65,"('people', 'computer')",1
64,"('older', 'people')",1
42,"('design', 'product')",1
41,"('assistive,', 'universal')",1
40,"('medical,', 'assistive,')",1
39,"('integrating', 'medical,')",1
18,"('standardized', 'power')",1
17,"('associated', 'standardized')",1
16,"('factor', 'associated')",1
15,"('life', 'factor')",1
14,"('quality', 'life')",1
13,"('outcome', 'quality')",1
12,"('what,', 'outcome')",1
11,"('whom,', 'what,')",1
10,"('right', 'whom,')",1
9,"('community', 'right')",1
8,"('accessibility', 'community')",1
7,"('equipment', 'accessibility')",1
6,"('mobility', 'equipment')",1
5,"('wheeled', 'mobility')",1
4,"('trend', 'wheeled')",1
3,"('demographic', 'trend')",1
2,"('care', 'demographic')",1
19,"('power', 'mobility')",1
20,"('mobility', 'universal')",1
21,"('design', 'communication')",1
31,"('input', 'product')",1
38,"('literature', 'integrating')",1
37,"('synthesis', 'literature')",1
36,"('review', 'synthesis')",1
35,"('disability', 'review')",1
34,"('individual', 'disability')",1
33,"('design', 'individual')",1
32,"('product', 'design')",1
30,"('managing', 'input')",1
22,"('communication', 'information')",1
29,"('system', 'managing')",1
28,"('kitchen', 'system')",1
27,"('interactive', 'kitchen')",1
26,"('design', 'interactive')",1
25,"('complement', 'design')",1
24,"('alternative', 'complement')",1
23,"('information', 'alternative')",1
81,"('literature', 'overview')",1
